ID,Name,Discounted Price,Original Price,Discount(%),Rating,Shipping
120,Dell laptop 3480 - Core i5 6th Generation - 8GB RAM - 256GB SSD - 14inch Screen - Free Laptop Bag,"49,999","69,999",29%,12,Free Shipping
121,MacBook Pro Mid 2009 | 13 inches | Intel Core 2 Duo 2.53 GHz Processor | 4GB Ram | 250GB HHD | Silver | Used |,"26,500","35,000",24%,0,No Free Shipping
122,Dell Latitude E5450 Intel Core 5th Generation i5 i5-5300U 4GB DDR3L 500GB 7200RPM HDD Webcam Windows 10 Pro,"39,999","59,999",33%,13,Free Shipping
123,"Lenovo Core i5 3rd Generation - 8GB ram , 500GB Hard Drive - 2 Hours+ Battery Backup","35,500","45,000",21%,12,No Free Shipping
124,"DELL Latitude 3160 N3700 Notebook 29,5 cm (11.6"") Touchscreen Intel® Pentium® 4 GB DDR3L-SDRAM 500 GB HDD Windows 7 Professional Black","20,999","21,999",5%,0,Free Shipping
125,Daraz Like New Laptops - Hp Probook 440 G3 - Core i3 6th Generation - 8GB RAM - 128GB SSD 500GB HDD- 14inch Screen - FREE LAPTOP BAG (WINDOWS 11 REGISTERED),"43,999","59,999",27%,1,Free Shipping
126,"Acer R11 Convertible 2-in-1 Chromebook in Black 11.6in HD Touchscreen Intel N3060 1.6Ghz up to 2.48GHz 4GB RAM 16 GB SSD, Webcam, Bluetooth, Play Store, Chrome OS (Refurbished)","17,500","26,000",33%,5,Free Shipping
127,Lenovo N22 Chromebook - 4gb/16gb - Play Store Supported - Longer Battery Timing,"14,500","18,000",19%,1,Free Shipping
128,"Lenovo Ideapad 1 11 Intel Celeron N4020, 4GB RAM, 64GB SSD/11.6″ HD LED, Windows 10","53,999","70,000",23%,0,No Free Shipping
129,"_DELL Core i5 3rd generation - 8GB ram , 500GB Hard Drive - 2 Hours+ battery Backup","29,500","48,000",39%,16,No Free Shipping
130,HP EliteBook 840 G3 - Core i5 6th Generation - 8 GB RAM - 256 GB SSD with 500gb HDD - 14inch Screen - FREE LAPTOP BAG,"54,999","72,999",25%,6,Free Shipping
131,Daraz Like New Laptops - Lenovo N22 / N23 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"12,999","20,999",38%,2,Free Shipping
132,Lenovo N21 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM - Long Battery,"13,860","14,599",5%,3,No Free Shipping
133,"ACER ASPIRE 3 C58L LAPTOP 4GB RAM 500GB HDD 15.6"" DISPLAY","25,000",0,0%,0,Free Shipping
134,"Daraz Like New Laptops - Lenovo ThinkPad T430, Core i5 3rd generation, 8GB DDR3 Ram, 500GB Hard Drive, 14.1"" Led Display, Intel HD Graphics","26,999","40,000",33%,1,Free Shipping
135,Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"16,500",0,0%,16,No Free Shipping
136,Lenovo N23 Chromebook - 4gb/16gb - with Play Store - Long Battery Life,"14,500",0,0%,1,No Free Shipping
